Holes,Spindle,Feedrate,VB,KB,C,V,W,Thrust,Torque,VB_Increments,KB_Increment,C_Increment,V_Increment,W_Increment,Surface roughness
1,550,0.08,0,0,0,0,0,1799.5,5.922,0,0,0,0,0,1.1426
2,550,0.08,53,275,487,476,90,1799.1,6.172,53,275,487,476,90,1.1615
3,550,0.08,65,398,512,549,116,1666.1,6.118,12,123,25,73,26,1.0812
4,550,0.08,72,423,529,587,140,1664,6.158,7,25,17,38,24,1.0518
5,550,0.08,82,450,554,605,164,1702.2,6.222,10,27,25,18,24,1.123
6,550,0.08,93,461,563,617,182,1707.1,6.317,11,11,9,12,18,1.2334
7,550,0.08,106,487,575,653,199,1702.7,6.406,13,26,12,36,17,1.4022
8,550,0.08,119,503,576,678,217,1678.1,6.513,13,16,1,25,18,1.6249
9,550,0.08,120,514,590,730,233,1758.8,6.503,1,11,14,52,16,1.8663
10,550,0.11,0,0,0,0,0,2097.6,7.389,0,0,0,0,0,1.5357
11,550,0.11,53,330,495,500,68,2039.7,7.602,53,330,495,500,68,1.6497
12,550,0.11,69,386,503,506,92,2034.8,7.733,16,56,8,6,24,1.4445
13,550,0.11,75,406,559,522,109,2105.9,7.78,6,20,56,16,17,1.3457
14,550,0.11,81,497,587,553,135,2017.8,7.695,6,91,28,31,26,1.3431
15,550,0.11,95,514,590,581,155,1979,7.834,14,17,3,28,20,1.3759
16,550,0.11,106,538,599,641,171,1952.3,7.922,11,24,9,60,16,1.4614
17,550,0.11,107,539,609,651,188,1968.2,7.935,1,1,10,10,17,1.5765
18,550,0.11,118,549,630,705,190,2010.7,8.049,11,10,21,54,2,1.603
19,550,0.11,127,559,635,715,197,1982.1,8.14,9,10,5,10,7,1.6766
20,550,0.11,141,580,670,755,199,1996.5,8.265,14,21,35,40,2,1.7178
21,700,0.14,0,0,0,0,0,2419,9.05,0,0,0,0,0,1.7093
22,700,0.14,41,396,587,685,84,2377.9,8.946,41,396,587,685,84,1.6964
23,700,0.14,53,453,663,742,105,2464.1,8.945,12,57,76,57,21,1.5799
24,700,0.14,74,587,685,790,116,2585,8.99,21,134,22,48,11,1.6517
25,700,0.14,79,688,702,825,127,2606.5,8.96,5,101,17,35,11,1.7304
26,700,0.14,85,788,715,849,141,2600.1,9.042,6,100,13,24,14,1.8431
27,700,0.14,92,824,740,887,157,2668.1,9.265,7,36,25,38,16,1.917
28,700,0.14,107,881,770,903,185,2641.6,9.394,15,57,30,16,28,2.1466
29,700,0.17,47,284,324,395,69,2603,9.451,47,284,324,395,69,2.0076
30,700,0.17,53,356,345,430,77,2674.3,10.617,6,72,21,35,8,1.9634
31,700,0.17,63,417,368,451,86,2761.3,10.635,10,61,23,21,9,1.9197
32,700,0.17,75,556,397,471,96,2721.7,10.55,12,139,29,20,10,1.9612
33,700,0.17,87,679,452,503,105,2763.9,10.52,12,123,55,32,9,2.035
34,700,0.17,98,756,496,538,112,2752.6,10.583,11,77,44,35,7,2.093
35,700,0.17,122,872,537,581,127,2707.2,10.622,24,116,41,43,15,2.2012
36,850,0.17,0,0,0,0,0,2693.6,10.324,0,0,0,0,0,1.7204
37,850,0.17,53,422,587,621,116,2632,10.43,53,422,587,621,116,1.6103
38,850,0.17,61,470,629,700,126,2726.6,10.493,61,470,629,700,126,1.6182
39,850,0.17,69,577,654,790,137,2847.1,10.499,69,577,654,790,137,1.7042
40,850,0.17,77,685,663,860,157,2978.5,10.58,77,685,663,860,157,1.8481
41,850,0.17,89,854,676,902,175,2997.7,10.856,89,854,676,902,175,2.1502
42,850,0.17,112,1087,720,942,192,2930,11.462,112,1087,720,942,192,2.6521
